word,transliteration,definition,quote_ggs
ਅਟਲ,atal,eternal,ਅਟਲਪਦਾਰਥਪਾਇਆ।।
ੳੂਚਾ,oochaa,high,ਊਚੇਉਪਰਿਊਚਾਨਾਉ।।
ੳੁਧਾਰੇ,udharay,to be liberated,ਹਰਕਾਨਾਮੁਤਤਕਾਲਉਧਾਰੈ।।
ਊਜਲ,oojal,"bright, pure",ਗੁਰਮੁਖਾਕੇਮੁਖਊਜਲਗੁਰਸਬਦੀਬੀਚਾਰਿ।।
ੳੁਪਦੇਸ,upses,"teachings, preaching",ਛਿਅਘਰਛਿਅਗੁਰਛਿਅੳੁਪਦੇਸ।।
ਊਪਰਿ,oopar,"on, above",ਧਵਲੈਊਪਰਿਕੇਤਾਭਾਰੁ।।
ੳੁਪਾਵ,upaav,"effort, way, or solution",ਮਨਮੇਰੇਸਗਲੳੁਪਾਵਤਿਆਗੁ।।
ਊਠਤ,oothat,"while rising, standing",ਊਠਤਬੈਠਤਹਰਿਹਰਿਗਾਈਐ।।
ਅਵਗਨ,avgan,"sin, weakness",ਮੇਰੇਗੁਣਅਵਗਨਨਬੀਚਾਰਿਆ।।
ਅਵਰੁ,avar,other,ਤੁਧੁਬਿਨੁਦੂਜਾਅਵਰੁਨਕੋਇ।।
ਆਇਆ,aaiyaa,to come,ਪ੍ਰਾਣੀਤੂੰਆਇਆਲਾਹਾਲੈਣਿ।।
ਆਗਿਆਕਾਰੀ,aagiyaakaari,obedient,ਠਾਕੁਰਕਾਸੇਵਕਿੁਆਗਿਆਕਾਰੀ।।
ਆਗਿਆ,aagiya,"command, direction",ਪ੍ਰਭਕੀਆਗਿਆਸਤਿਕਰਿਮਾਨੁ।।
ਆਸਾ,aasaa,"hope, desire",ਧਨੁਖਟੈਆਸਾਕਰੈਮਾਇਆਮੋਹੁਵਧਾਵੈ।।
ਆਠਪਹਿਰ,aath pehar,"24 hours, day and night",ਹਰਿਜਪੀਐਆਰਾਧੀਐਆਠਪਹਿਰਗੋਵਿੰਦੁ।।
