word,transliteration,definition,quote_ggs
ਅਟਲ,atal,eternal,ਅਟਲ ਪਦਾਰਥ ਪਾਇਆ।।
ੳੂਚਾ,oochaa,high,ਊਚੇ ਉਪਰਿ ਊਚਾ ਨਾਉ।।
ੳੁਧਾਰੇ,udharay,to be liberated,ਹਰ ਕਾ ਨਾਮੁ ਤਤਕਾਲ ਉਧਾਰੈ।।
ਊਜਲ,oojal,"bright, pure",ਗੁਰਮੁਖਾ ਕੇ ਮੁਖ ਊਜਲ ਗੁਰ ਸਬਦੀ ਬੀਚਾਰਿ।।
ੳੁਪਦੇਸ,upses,"teachings, preaching",ਛਿਅ ਘਰ ਛਿਅ ਗੁਰ ਛਿਅ ੳੁਪਦੇਸ।।
ਊਪਰਿ,oopar,"on, above",ਧਵਲੈ ਊਪਰਿ ਕੇਤਾ ਭਾਰੁ।।
ੳੁਪਾਵ,upaav,"effort, way, or solution",ਮਨ ਮੇਰੇ ਸਗਲ ੳੁਪਾਵ ਤਿਆਗੁ।।
ਊਠਤ,oothat,"while rising, standing",ਊਠਤ ਬੈਠਤ ਹਰਿ ਹਰਿ ਗਾਈਐ।।
ਅਵਗਨ,avgan,"sin, weakness",ਮੇਰੇ ਗੁਣ ਅਵਗਨ ਨ ਬੀਚਾਰਿਆ।।
ਅਵਰੁ,avar,other,ਤੁਧੁ ਬਿਨੁ ਦੂਜਾ ਅਵਰੁ ਨ ਕੋਇ।।
ਆਇਆ,aaiyaa,to come,ਪ੍ਰਾਣੀ ਤੂੰ ਆਇਆ ਲਾਹਾ ਲੈਣਿ।।
ਆਗਿਆਕਾਰੀ,aagiyaakaari,obedient,ਠਾਕੁਰ ਕਾ ਸੇਵਕਿੁ ਆਗਿਆਕਾਰੀ।।
ਆਗਿਆ,aagiya,"command, direction",ਪ੍ਰਭ ਕੀ ਆਗਿਆ ਸਤਿ ਕਰਿ ਮਾਨੁ।।
ਆਸਾ,aasaa,"hope, desire",ਧਨੁ ਖਟੈ ਆਸਾ ਕਰੈ ਮਾਇਆ ਮੋਹੁ ਵਧਾਵੈ।।
ਆਠਪਹਿਰ,aath pehar,"24 hours, day and night",ਹਰਿ ਜਪੀਐ ਆਰਾਧੀਐ ਆਠ ਪਹਿਰ ਗੋਵਿੰਦੁ।।
