word,transliteration,definition,quote_ggs
ਬ੍ਰਹਮ,brahm,Absolute Lord,ਤੂੰ ਪਾਰਬ੍ਰਹਮ ਬੇਅੰਤੁ ਬੇਅੰਤੁ ਜੀ ਤੇਰੇ ਕਿਆ ਗੁਣ ਆਖਿ ਵਖਾਣਾ ।।
ਭਰਮੁ,bharam,"doubt, confusion",ਬਿਨੁ ਸਬਦੈ ਭਰਮੁ ਨ ਚੂਕੲੀ ਨਾ ਵਿਚਹੁ ਹਉਮੈ ਜਾਇ ।।
ਭਰਪੂਰ,bharpoor,completely full,ਹਰਿ ਅੰਤਰਿ ਬਾਹਰਿ ਰਹਿਆ ਭਰਪੂਰੇ ।।
ਭਰਵਾਸਾ,bharvaasaa,"trust, confidence",ਨਾਨਕ ਦਾਸ ਤੇਰਾ ਭਰਵਾਸਾ ।।
ਬੁਧਿ,budh,"intellect, wisdom",ਗੁਰਿ ਮਿਲਿਐ ਸਭ ਮਤਿ ਬੁਧ ਹੋਇ ।।
ਬੂਝੈ,boojhai,understands,ਜੇ ਕੋ ਬੂਝੈ ਹੋਵੈ ਸਚਿਆਰ ।।
ਭਾਉ,bhaau,love,ਗਾਵਿਐ ਸੁਣੀਐ ਮਨਿ ਰਖੀਐ ਭਾਉ ।।
ਭਾਈ,bhaaee,"brother, friend",ਭਾਈ ਰੇ ਇਸੁ ਮਨ ਕਉ ਸਮਝਾਇ ।।
ਭਾਗ,bhaag,"fortune, destiny or to run",ਵਡਭਾਗੀ ਹਰਿ ਨਾਮੁ ਧਿਆਇਆ ।।
ਬਾਹਰਿ,baahar,"outside, besides",ਹੁਕਮੈ ਅੰਦਰਿ ਸਭੁ ਕੋ ਬਾਹਰਿ ਹੁਕਮ ਨ ਕੋਇ ।।
ਭਾਇ,bhaai,pleases; will; love,ਅਮੁਲ ਭਾਇ ਅਮੁਲਾ ਸਮਾਹਿ ।।
ਬਾਰਿਕ,baarik,child,ਬਾਰਿਕ ਵਾਂਗੀ ਹਉ ਸਭ ਕਿਛ ਮੰਗਾ ।।
ਬਾਤ,baat,"story, issue, conversation",ਤੈ ਸਾਹਿਬ ਕੀ ਬਾਤ ਜਿ ਆਖੈ ਕਹੁ ਨਾਨਕ ਕਿਆ ਦੀਜੈ ।।
ਭਾਵੈ,bhaavai,"to be pleasing, appeal to",ਜੋ ਤਿਸੁ ਭਾਵੈ ਸੋਈ ਕਰਸੀ ਫਿਰਿ ਹੁਕਮੁ ਨ ਕਰਣਾ ਜਾਈ ।।
ਬਾਣੀ,baanee,"speech, Word",ਗੁਰਮੁਖਿ ਬਾਣੀ ਬ੍ਰਹਮੁ ਹੈ ਸਬਦਿ ਮਿਲਾਵਾ ਹੋਇ ।।
